# Time-averaged data for fix 7
# TimeStep v_Press v_strain
5000 -5.61443 0.00105255
10000 -5.14196 0.00355256
15000 -4.79802 0.00605257
20000 -4.45756 0.00855257
25000 -4.1369 0.0110526
30000 -3.81438 0.0135526
35000 -3.50913 0.0160526
40000 -3.20221 0.0185526
45000 -2.90582 0.0210526
50000 -2.61314 0.0235526
55000 -2.32796 0.0260526
60000 -2.04812 0.0285526
65000 -1.76992 0.0310526
70000 -1.50126 0.0335526
75000 -1.23652 0.0360526
80000 -0.980372 0.0385526
85000 -0.728591 0.0410527
90000 -0.478535 0.0435527
95000 -0.235286 0.0460527
100000 0.0089624 0.0485527
105000 0.24491 0.0510527
110000 0.474249 0.0535527
115000 0.701857 0.0560527
120000 0.918801 0.0585527
125000 1.13297 0.0610527
130000 1.34252 0.0635527
135000 1.55673 0.0660527
140000 1.76183 0.0685527
145000 1.96316 0.0710527
150000 2.16793 0.0735527
155000 2.36599 0.0760527
160000 2.55689 0.0785528
165000 2.74322 0.0810528
170000 2.92691 0.0835528
175000 3.10756 0.0860528
180000 3.28411 0.0885528
185000 3.44466 0.0910528
190000 3.60037 0.0935528
195000 3.75592 0.0960528
200000 3.92092 0.0985528
205000 4.06349 0.101053
210000 4.19418 0.103553
215000 4.31591 0.106053
220000 4.43132 0.108553
225000 4.5389 0.111053
230000 4.63913 0.113553
235000 4.72012 0.116053
240000 4.77871 0.118553
245000 4.76237 0.121053
250000 4.592 0.123553
255000 4.24982 0.126053
260000 3.69054 0.128553
265000 2.98695 0.131053
270000 2.33993 0.133553
275000 1.96478 0.136053
280000 1.75134 0.138553
285000 1.63927 0.141053
290000 1.64524 0.143553
295000 1.63345 0.146053
300000 1.60992 0.148553
305000 1.62076 0.151053
310000 1.58873 0.153553
315000 1.55367 0.156053
320000 1.53884 0.158553
325000 1.49889 0.161053
330000 1.45612 0.163553
335000 1.43344 0.166053
340000 1.39694 0.168553
345000 1.37729 0.171053
350000 1.34655 0.173553
355000 1.29517 0.176053
360000 1.234 0.178553
365000 1.18694 0.181053
370000 1.16618 0.183553
375000 1.13026 0.186053
380000 1.11439 0.188553
385000 1.08664 0.191053
390000 1.07846 0.193553
395000 1.05647 0.196053
400000 1.02805 0.198553
405000 1.00981 0.201053
410000 0.995694 0.203553
415000 0.961339 0.206053
420000 0.919987 0.208553
425000 0.853908 0.211053
430000 0.836964 0.213553
435000 0.792962 0.216053
440000 0.775538 0.218553
445000 0.778044 0.221053
450000 0.757841 0.223553
455000 0.72395 0.226053
460000 0.701759 0.228553
465000 0.69281 0.231053
470000 0.678825 0.233553
475000 0.669912 0.236053
480000 0.664673 0.238553
485000 0.634457 0.241053
490000 0.625526 0.243553
495000 0.622631 0.246053
500000 0.603024 0.248553
505000 0.60599 0.251053
510000 0.583775 0.253553
515000 0.56504 0.256053
520000 0.570727 0.258553
