# Time-averaged data for fix 7
# TimeStep v_Press v_strain
5000 0.122967 0.0166621
10000 0.390248 0.019201
15000 0.655751 0.02174
20000 0.905693 0.024279
25000 1.15665 0.026818
30000 1.39613 0.029357
35000 1.63013 0.031896
40000 1.86097 0.034435
45000 2.08322 0.036974
50000 2.30072 0.039513
55000 2.51578 0.042052
60000 2.72152 0.0445909
65000 2.92898 0.0471299
70000 3.12668 0.0496689
75000 3.3185 0.0522079
80000 3.50802 0.0547469
85000 3.69094 0.0572859
90000 3.86951 0.0598249
95000 4.04467 0.0623639
100000 4.21529 0.0649029
105000 4.38191 0.0674418
110000 4.54664 0.0699808
115000 4.70556 0.0725198
120000 4.86059 0.0750588
125000 5.011 0.0775978
130000 5.1047 0.0801368
135000 5.10196 0.0826758
140000 5.0975 0.0852148
145000 5.08264 0.0877538
150000 5.04834 0.0902927
155000 5.00774 0.0928317
160000 4.88016 0.0953707
165000 4.50852 0.0979097
170000 3.85886 0.100449
175000 3.33283 0.102988
180000 2.94745 0.105527
185000 2.64233 0.108066
190000 2.39368 0.110605
195000 2.2203 0.113144
200000 2.13241 0.115683
205000 2.08921 0.118222
210000 2.05727 0.120761
215000 2.04572 0.1233
220000 2.06525 0.125839
225000 1.99846 0.128378
230000 2.0094 0.130917
235000 1.98178 0.133456
240000 1.92627 0.135995
245000 1.88392 0.138534
250000 1.82177 0.141073
255000 1.73117 0.143612
260000 1.62898 0.146151
265000 1.54668 0.148689
270000 1.50047 0.151228
275000 1.49213 0.153767
280000 1.44719 0.156306
285000 1.43321 0.158845
290000 1.43372 0.161384
295000 1.40089 0.163923
300000 1.39386 0.166462
305000 1.34175 0.169001
310000 1.36093 0.17154
315000 1.35748 0.174079
320000 1.3288 0.176618
325000 1.3282 0.179157
330000 1.30237 0.181696
335000 1.27757 0.184235
340000 1.27618 0.186774
345000 1.28136 0.189313
350000 1.25558 0.191852
355000 1.218 0.194391
360000 1.20411 0.19693
365000 1.17445 0.199469
370000 1.16524 0.202008
375000 1.13872 0.204547
380000 1.11349 0.207086
385000 1.07773 0.209625
390000 1.08167 0.212164
395000 1.06258 0.214703
400000 1.0382 0.217242
405000 1.01632 0.219781
410000 1.00371 0.22232
415000 1.00254 0.224859
420000 1.00214 0.227398
425000 0.984674 0.229937
430000 0.973261 0.232476
435000 0.953856 0.235015
440000 0.952911 0.237554
445000 0.946902 0.240093
450000 0.93963 0.242632
455000 0.93921 0.245171
460000 0.942517 0.24771
465000 0.924186 0.250249
470000 0.910157 0.252788
475000 0.905854 0.255327
480000 0.901179 0.257866
485000 0.9122 0.260405
490000 0.91335 0.262944
495000 0.896125 0.265483
500000 0.906339 0.268022
505000 0.9093 0.270561
510000 0.8974 0.2731
515000 0.888803 0.275639
520000 0.878775 0.278178
525000 0.874776 0.280717
530000 0.863439 0.283256
535000 0.852082 0.285795
540000 0.839262 0.288334
545000 0.832876 0.290873
550000 0.839182 0.293412
555000 0.839026 0.295951
560000 0.83907 0.29849
565000 0.842235 0.301029
570000 0.826649 0.303568
575000 0.834365 0.306107
580000 0.814738 0.308646
