# Time-averaged data for fix 7
# TimeStep v_Press v_strain
5000 0.111401 0.0165367
10000 0.373443 0.0190754
15000 0.636107 0.021614
20000 0.883834 0.0241527
25000 1.12838 0.0266914
30000 1.36547 0.0292301
35000 1.59314 0.0317687
40000 1.81943 0.0343074
45000 2.03719 0.0368461
50000 2.25209 0.0393848
55000 2.46309 0.0419235
60000 2.66602 0.0444621
65000 2.86879 0.0470008
70000 3.06298 0.0495395
75000 3.2514 0.0520782
80000 3.43597 0.0546168
85000 3.61404 0.0571555
90000 3.78687 0.0596942
95000 3.95798 0.0622329
100000 4.11881 0.0647715
105000 4.2756 0.0673102
110000 4.43273 0.0698489
115000 4.5756 0.0723876
120000 4.71122 0.0749262
125000 4.83398 0.0774649
130000 4.9192 0.0800036
135000 4.96287 0.0825423
140000 4.94767 0.0850809
145000 4.90093 0.0876196
150000 4.81464 0.0901583
155000 4.605 0.092697
160000 4.18911 0.0952357
165000 3.48067 0.0977743
170000 2.80605 0.100313
175000 2.45104 0.102852
180000 2.15726 0.10539
185000 1.87003 0.107929
190000 1.67832 0.110468
195000 1.52472 0.113006
200000 1.48803 0.115545
205000 1.46035 0.118084
210000 1.44092 0.120622
215000 1.41606 0.123161
220000 1.36893 0.1257
225000 1.35129 0.128238
230000 1.30855 0.130777
235000 1.2793 0.133316
240000 1.23953 0.135854
245000 1.1707 0.138393
250000 1.13991 0.140932
255000 1.11003 0.14347
260000 1.07782 0.146009
265000 1.05104 0.148548
270000 1.01095 0.151087
275000 0.98514 0.153625
280000 0.969111 0.156164
285000 0.959682 0.158703
290000 0.956914 0.161241
295000 0.945958 0.16378
300000 0.936702 0.166319
305000 0.935065 0.168857
310000 0.905896 0.171396
315000 0.910973 0.173935
320000 0.906021 0.176473
325000 0.858705 0.179012
330000 0.880369 0.181551
335000 0.854809 0.184089
340000 0.851261 0.186628
345000 0.862568 0.189167
350000 0.845331 0.191705
355000 0.855291 0.194244
360000 0.842393 0.196783
365000 0.832919 0.199321
370000 0.856503 0.20186
375000 0.827219 0.204399
380000 0.83555 0.206937
385000 0.831436 0.209476
390000 0.823454 0.212015
395000 0.83124 0.214553
400000 0.821461 0.217092
405000 0.830464 0.219631
410000 0.825718 0.222169
415000 0.812263 0.224708
420000 0.824597 0.227247
425000 0.807046 0.229785
430000 0.82262 0.232324
435000 0.811354 0.234863
440000 0.805535 0.237402
445000 0.812679 0.23994
450000 0.812456 0.242479
455000 0.808171 0.245018
460000 0.815637 0.247556
465000 0.800541 0.250095
470000 0.799473 0.252634
