# Time-averaged data for fix 7
# TimeStep v_Press v_strain
5000 0.120622 0.016659
10000 0.388082 0.019198
15000 0.652558 0.021737
20000 0.902707 0.0242759
25000 1.15099 0.0268149
30000 1.39167 0.0293539
35000 1.62549 0.0318929
40000 1.85549 0.0344319
45000 2.0796 0.0369708
50000 2.29822 0.0395098
55000 2.51303 0.0420488
60000 2.71807 0.0445878
65000 2.92275 0.0471268
70000 3.11831 0.0496658
75000 3.31014 0.0522047
80000 3.49819 0.0547437
85000 3.6805 0.0572827
90000 3.85881 0.0598217
95000 4.03514 0.0623607
100000 4.20951 0.0648996
105000 4.38063 0.0674386
110000 4.54721 0.0699776
115000 4.70565 0.0725166
120000 4.86093 0.0750556
125000 5.00684 0.0775946
130000 5.1395 0.0801335
135000 5.19263 0.0826725
140000 5.12244 0.0852115
145000 5.09706 0.0877505
150000 5.04769 0.0902895
155000 4.96713 0.0928284
160000 4.81286 0.0953674
165000 4.5233 0.0979064
170000 4.08419 0.100445
175000 3.70877 0.102984
180000 3.41483 0.105523
185000 3.05685 0.108062
190000 2.78769 0.110601
195000 2.51928 0.11314
200000 2.29274 0.115679
205000 2.16093 0.118218
210000 2.0688 0.120757
215000 2.06237 0.123296
220000 1.99445 0.125835
225000 1.94789 0.128374
230000 1.92631 0.130913
235000 1.8821 0.133452
240000 1.8466 0.135991
245000 1.76652 0.13853
250000 1.67828 0.141069
255000 1.65307 0.143608
260000 1.57208 0.146147
265000 1.56001 0.148686
270000 1.51096 0.151225
275000 1.46291 0.153764
280000 1.45838 0.156303
285000 1.45004 0.158842
290000 1.40371 0.161381
295000 1.41516 0.16392
300000 1.383 0.166459
305000 1.3752 0.168998
310000 1.3864 0.171537
315000 1.35222 0.174076
320000 1.3427 0.176615
325000 1.33748 0.179154
330000 1.32039 0.181693
335000 1.30296 0.184232
340000 1.30693 0.186771
345000 1.3057 0.18931
350000 1.30645 0.191849
355000 1.27218 0.194388
360000 1.25317 0.196927
365000 1.26634 0.199466
370000 1.25768 0.202005
375000 1.26471 0.204544
380000 1.23423 0.207083
385000 1.21332 0.209622
390000 1.18102 0.212161
395000 1.19651 0.2147
400000 1.17361 0.217239
405000 1.16792 0.219778
410000 1.16979 0.222316
415000 1.1432 0.224855
420000 1.1615 0.227394
425000 1.14974 0.229933
430000 1.15631 0.232472
435000 1.11699 0.235011
440000 1.11753 0.23755
445000 1.12378 0.240089
450000 1.09664 0.242628
455000 1.10814 0.245167
460000 1.09676 0.247706
465000 1.08175 0.250245
470000 1.09525 0.252784
475000 1.08064 0.255323
480000 1.09118 0.257862
485000 1.09098 0.260401
490000 1.06296 0.26294
495000 1.07904 0.265479
500000 1.06061 0.268018
505000 1.06382 0.270557
510000 1.07211 0.273096
515000 1.03538 0.275635
520000 1.03292 0.278174
525000 1.02851 0.280713
530000 1.00374 0.283252
535000 1.01199 0.285791
540000 0.997304 0.28833
545000 0.99925 0.290869
550000 1.01051 0.293408
555000 0.989702 0.295947
560000 0.99384 0.298486
565000 0.991888 0.301025
570000 0.978657 0.303564
575000 0.991762 0.306103
580000 0.968694 0.308642
585000 0.9663 0.311181
590000 0.961172 0.31372
595000 0.957781 0.316259
600000 0.964848 0.318798
605000 0.961692 0.321337
610000 0.95492 0.323876
615000 0.938844 0.326415
620000 0.923127 0.328954
625000 0.922512 0.331493
630000 0.930903 0.334032
635000 0.921397 0.336571
640000 0.91871 0.33911
645000 0.903347 0.341649
650000 0.893286 0.344188
655000 0.899361 0.346727
660000 0.882437 0.349266
665000 0.873209 0.351805
670000 0.875923 0.354344
